username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
FabioHoyosJimn1;2019-11-12 08:28;1;7;"Yo soy un joven de 23 anos Y porque quiero a Colombia estoy de acuerdo con el paro Nacional Merezco respeto y ganar un salario minimo digno que me permita lograr mis metas Cero violencia";;;;"1194245490830979079";https://twitter.com/FabioHoyosJimn1/status/1194245490830979079;Muy negativo;0.2105495711039691
abrahamsoto01;2019-03-29 00:23;0;0;"COMO EL TITERE SIGA CON SU ARROGANCIA PERMITA DEJARSE MANIPULAR LE VA TERMINAR PESANDO SU GOBIERNO PORQUE ESTO SE LE VA SALIR DE LAS MANOS Y LA MINGA JUNTOS A OTROS GREMIOS SE VAN A JUNTAR SE VE VENIR UN PARO NACIONAL BIEN GRANDE";;@ IvanDuque@ AlvaroUribeVel@ ONIC_Colombia;;"1111499054897381376";https://twitter.com/abrahamsoto01/status/1111499054897381376;Neutral;0.0
