id,texto,RT_Count,Favorite_Count
30,"b'#DemocraciaEs garantizar el bienestar de los ciudadanos, por eso vamos a trabajar de la mano con @MiguelUribeT para facilitar acceso y oportunidades de empleo. \n\nEsta es #LaFuerzaQueNosUne para que #Avancemos en Bogota. \n\nConozca mas aqui: https://t.co/FtRUucqIAu https://t.co/jhe1myXsrG'",64,0
31,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
32,"b'Tenemos el coraje y la firmeza para defender la seguridad y el desarrollo sostenible. @MiguelUribeT Alcalde, @josiasfiesco Concejo #CD18 #Avancemos https://t.co/pos8SReOkK'",69,0
33,b'Mas carceles.  La misma desastrosa propuesta de @MiguelUribeT en Bogota.\nCurioso. https://t.co/XYTwGeeTUp',0,0
34,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
35,b'@JulianEJimenezS @julian09248923 @CRISTOVISION @Bogota @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS Miguel Uribe representa esto \n\nY lo poco que ejecuto es en funcion de sus amiguis https://t.co/ElSUsc8qd5',0,0
36,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
37,b'@pilar_rod @MiguelUribeT @MiguelUribeT es un gran hombre de familia y eso es lo que los bogotanos necesitamos alguien que defienda los valores que otros candidatos no apoyan.',0,0
38,"b'Tratar de fracasado a un joven de 33anos y exitoso en sus funciones, es la incoherencia mas grande de @ClaudiaLopez al referirse a su rival politico y candidato a la alcaldia @MiguelUribeT, mas cuando ella le hace promesas a la juventud, ?la fracasada no sera la de 50?'",4,0
39,"b'?Recuerdan cuando @MiguelUribeT  propuso una consulta? ?Recuerdan que hace 8 anos Galan entrego la alcaldia a Petro? Debemos cobrarle ese egoismo y ese poco amor a la ciudad. Esto ratifica a @MiguelUribeT como el mas coherente, abierto al dialogo y con experiencia. https://t.co/oEN1yNGVcB'",341,0
40,"b'Hoy entiendo que estas elecciones son determinantes\n\nYo soy mama de dos hijos y tengo algo muy claro:\n \n[?][?]LOS PARQUES SON PARA NUESTROS HIJOS, NO PARA CONSUMIR DROGAS[?][?]\n\nCreo en @MiguelUribeT porque es el unico que se opone al consumo de drogas, el defiende el futuro de mis hijos https://t.co/kwz65crF75'",194,0
41,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
42,b'!Por una ciudad con menos muertes por Cancer de Cuello Uterino! Les preguntamos a los candidatos #alcaldiabogota \n@claudialopezcl @migueluribet @CarlosFGalan @HOLLMANMORRIS ?Que proponen para la prevencion y deteccion del VPH?#ColombiaSinCCU https://t.co/W2MzD11XxN',1,0
43,b'Me encanta la familia de @MiguelUribeT  https://t.co/lbREunYM6t',62,0
44,b'La experiencia no se improvisa.\nVotemos por quien SI tiene la experiencia. \n#Avancemos con @MiguelUribeT https://t.co/pOj7yDeROF',330,0
