username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
CarrillonavasG;2019-10-27 13:28;11;10;"# VerdadElecciones2019 # MananasBLU # ColombiaDecide # EleccionesColombia # bogotadecide # Elecciones2019 # EleccionesRegionales Sr @ PGN_COL @ Registraduria @ FiscaliaCol @ DIJINPolicia Claudia Lopez verdes y izquierdistas piensan que la ley no es para ellos, cuando esta prohibido pic.twitter.com/XCWZQAesA3";;@ PGN_COL @ Registraduria @ FiscaliaCol @ DIJINPolicia;# VerdadElecciones2019 # MananasBLU # ColombiaDecide # EleccionesColombia # bogotadecide # Elecciones2019 # EleccionesRegionales;"1188522803387084801";https://twitter.com/CarrillonavasG/status/1188522803387084801;Muy negativo;0.012726455821229096
OpinaSantander;2019-10-27 10:16;0;1;"# EleccionesRegionales | Candidatos a la Alcaldia de # Bucaramanga como Claudia Lopez o Juan Carlos Cardenas, y el candidato a la Gobernacion de # Santander, Leonidas Gomez, ya ejercieron su derecho al voto. # OpinaSantanderpic.twitter.com/iWdQhZsbK8";;;# EleccionesRegionales # Bucaramanga # Santander # OpinaSantanderpic;"1188474673073442816";https://twitter.com/OpinaSantander/status/1188474673073442816;Muy negativo;0.005187782575773006
