username;date;0;00;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
Tenayz;2019-10-25 05:37;0;0;"Buenos dias eterno galan de las Amazonas, DTB gracias gracias gracias...asi lo hare me pintare una sonrisa...";;;;"1187679575255453697";https://twitter.com/Tenayz/status/1187679575255453697;Muy positivo;0.9292299994482869
APeregrina2;2019-10-24 09:58;0;1;"Ahahaahahah Amazonas, querida vem ca!!!";;;;"1187382792633667584";https://twitter.com/APeregrina2/status/1187382792633667584;Neutral;0.0
lee_galan;2019-10-23 17:40;0;1;"Eu ia querer me chamar Parana kkkkkkkk ou Amazonas kkkkkkkkk";;;;"1187136848298205184";https://twitter.com/lee_galan/status/1187136848298205184;Neutral;0.0
tjgalan;2019-10-19 13:03;0;0;"Cono, el Amazonas se quema, celeridad, se quema Barcelona, serenidad, solo un chupoptero diria esto";;;;"1185617523238195201";https://twitter.com/tjgalan/status/1185617523238195201;Muy negativo;0.06607739019541045
