username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
CervezaAguila,8/9/19 20:47,0,0,"Luisa, ?vamos por una # AguilaFusionLimon?, no olvides que aparecemos en todas la ciudades a mediados de septiembre.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170876359964549120
AnguieVelandia,8/9/19 20:30,0,0,Tu tan Club de Trigo y yo tan Aguila fusion limon. pic.twitter.com/hC62T5ECgm,,,,1.17E+18,https://twitter.com/AnguieVelandia/status/1170872178310549504
CervezaAguila,8/9/19 16:54,0,0,"!Claro que si, Maria! En unos dias encontraras nuestra # AguilaFusionLimon hasta en la tienda de la esquina, asi que bien pendiente del lanzamiento oficial. ! # Vivela!",,,# AguilaFusionLimon # Vivela,1.17E+18,https://twitter.com/CervezaAguila/status/1170817726102888448
Eojedaq,8/9/19 15:46,0,1,La aguila fusion limon SABE A AGUAAAAAAA....,,,,1.17E+18,https://twitter.com/Eojedaq/status/1170800593482465286
paula_amc,8/9/19 15:24,0,3,Confirmo que no me gusto la nueva Aguila Fusion Limon,,,,1.17E+18,https://twitter.com/paula_amc/status/1170794997597257730
vanemantilla21,8/9/19 13:44,0,0,Y ahora la nueva aguila fusion limon el ASCO https://twitter.com/carolayurueta/status/1170545055918153728 ...,,,,1.17E+18,https://twitter.com/vanemantilla21/status/1170769978590543872
CervezaAguila,8/9/19 11:49,0,1,"Yise, quiza un poquito mas fria para que puedas disfrutar mejor de nuestra # AguilaFusionLimon. ?No crees?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170740982050119681
nicolairojas8,8/9/19 11:15,0,4,"Esa Aguila fusion a limon es una mierda, cosa mal hecha; definitivamente no te cambio @ CervezaPoker",,@ CervezaPoker,,1.17E+18,https://twitter.com/nicolairojas8/status/1170732419332354049
16mafe01,8/9/19 10:19,0,16,"Sorry pero la aguila fusion limon es bien jopo, no se dejen enganar",,,,1.17E+18,https://twitter.com/16mafe01/status/1170718340211531778
MarieClaireSan,8/9/19 08:17,0,0,Updated: Aun no me llega mi # AguilaFusionLimon pero los lindos de @ CervezaAguila han sido atentos conmigo y me han dicho que pronto me llegara,,@ CervezaAguila,# AguilaFusionLimon,1.17E+18,https://twitter.com/MarieClaireSan/status/1170687690964119552
CervezaAguila,8/9/19 06:51,0,0,"!Nada de eso Dani!, tu # AguilaFusionLimon esta a punto de llegar, !pendiente!",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170665978029645825
revistapym,7/9/19 23:00,0,0,Aguila Fusion Limon es la mas reciente apuesta de Cerveza Aguila para 2019. Se trata de una variedad que incluye un toque de limon y sera producida en la Cerveceria de Barranquilla. Mas informacion en https://bit.ly/30fGSCg,,,,1.17E+18,https://twitter.com/revistapym/status/1170547340165472258
KatherinArzuza,7/9/19 22:23,0,0,Invite a mi papa a tomarnos las nuevas aguila fusion limon que buen parche,,,,1.17E+18,https://twitter.com/KatherinArzuza/status/1170538153545011200
CervezaAguila,7/9/19 21:04,0,0,?Que tal te parecio la nueva # AguilaFusionLimon viejo Freddy?,,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170518154293981185
maria_acosta7,7/9/19 20:16,0,0,@ CervezaAguila aun podemos probar # AguilaFusionLimon ??? Nos morimos por tenerla en casa # AguilaFusionLimon # AguilaFusionLimon,,@ CervezaAguila,# AguilaFusionLimon # AguilaFusionLimon # AguilaFusionLimon,1.17E+18,https://twitter.com/maria_acosta7/status/1170506249412198401
CervezaAguila,7/9/19 19:53,0,0,"?Que mejor regalo que disfrutar entre todos una buena # AguilaFusionLimon? Es una abre bocas pa' que cuando salga a la venta, esten ahi atentos.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170500261351165953
Mariahpaularg,7/9/19 19:52,0,0,Creo que soy de las pocas que no le gusto la aguila fusion limon,,,,1.17E+18,https://twitter.com/Mariahpaularg/status/1170500178064769025
labodeguitamb,7/9/19 19:36,1,1,Es sabado y ellas lo saben # AguilaFusionLimon # Valledupar # SaludMiLlave # Beer # Friends # Colombia Ya la probaste? en La Bodeguita https://www.instagram.com/p/B2IV1t4FbZT/?igshid=sabf8to03f2b ...,,,# AguilaFusionLimon # Valledupar # SaludMiLlave # Beer # Friends # Colombia,1.17E+18,https://twitter.com/labodeguitamb/status/1170496053784797185
CervezaAguila,7/9/19 18:17,2,7,"!Asi es que es, viejo Rafa! Cuentanos que tanto te gusto nuestra # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170476175178833920
Gmstiven,7/9/19 18:08,0,0,@ CervezaAguila me siento estafado sin mi Aguila fusion limon!,,@ CervezaAguila,,1.17E+18,https://twitter.com/Gmstiven/status/1170473977174773760
FelipeSanch,7/9/19 17:49,0,1,"Bueno, reportense para probar esa aguila fusion limon",,,,1.17E+18,https://twitter.com/FelipeSanch/status/1170469270276452353
CervezaAguila,7/9/19 17:33,0,0,!Siempre a tu lado; nunca te fallamos! Recuerda dejar tu # AguilaFusionLimon un buen rato en el refri pa' que recupere energia y la tomes como es.,,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170465146411638784
paulagarcia98,7/9/19 17:20,0,0,En otras noticias esa cerveza de Fusion Limon de Aguila sabe a pura Aguila Light con un lejanisimooooo sabor a limon,,,,1.17E+18,https://twitter.com/paulagarcia98/status/1170461888154673152
CervezaAguila,7/9/19 17:11,0,0,"Nunca, mi hermano. A mediados de mes encontraras nuestra # AguilaFusionLimon disponible en cada rincon del pais. ?Ya sabes con quien la vas a probar?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170459693174710273
CervezaAguila,7/9/19 17:07,0,1,"Brother, ?no participaste en ninguno de los concursos que hicimos como previa al lanzamiento de nuestra # AguilaFusionLimon?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170458548976922624
CervezaAguila,7/9/19 16:56,0,0,"Steph, a mediados de septiembre podras encontrar en la tienda del veci nuestra # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170455897560244230
