Texto,Sentimiento
"#VolanteoDigital En cada rincon de Bogota tenemos pocos segundos para convencer a miles de Bogotanos de nuestra propuesta #Independiente, con el esfuerzo de cientos de voluntarios hoy nos recompensa la intencion de voto. #Galan #Alcalde @CarlosFGalan #YoVotoPorMiSaludMental https://t.co/Zhs6yJR9EE",0.43658686006743475
@CantorWerner @JuanPabloMorris @CarlosFGalan @EnriquePenalosa @HOLLMANMORRIS @jcuestanovoa https://t.co/en1nsPI2or,0.3573939275066913
@CantorWerner @JuanPabloMorris @CarlosFGalan @EnriquePenalosa @HOLLMANMORRIS @jcuestanovoa https://t.co/Lf2L59LlWk,0.3573939275066913
"!ATENCION BOGOTA!
Mafias quieren Negocio d Metro en Bogota.
Accionista Mayoritario d Konfirma, amigo de @sergio_fajardo era el destinatario d 3.000 toneladas d Carbohidrato d Sodio en 1995.
Es entendible el apoyo a tres candidatos @ClaudiaLopez @MiguelUribeT @CarlosFGalan  https://t.co/u45Al6bweX",0.011995926005986571
"@CatalinaNieto22 @CarlosFGalan Entre toda su experiencia en construccion de metros, deberia enviar un propuesta y un estudio escrito sobre las ventajas y beneficios del metro subterraneo, no solo lo que dice el ""mesias"" que es un metro corrupto y sin argumentos...",0.27591500346537307
"Oye @CarlosFGalan  y no vas a responder por esto? Nos metiste a Penalosa, no hubo ALO y cada dia la movilidad esta peor.

No mas mentiras.

#GalanEsDeLosMismos https://t.co/ehCorD2z5z",0.0007590566444496807
"@BetoManizales11 @juanc_Armenia @MarinaArbelaez1 @CarlosFGalan @MiguelUribeT @ClaudiaLopez @VelascoCamilo @davidfbecerra @Roble574 @RodoOgliastri Pilas con los votos de Beto, que al igual que la chimoltrufia como dice una cosa, dice otra. Hace una semana iba por Claudia Lopez en 2 semanas se decantara por Hollman",0.6943738754517503
"Seguimos creciendo, esta vez en la ultima Datexco. Asi lo registro La W esta manana. Cerraremos como se debe, trabajando, con humildad, en la calle. Todavia falta mucho, sin confiarnos. Feliz noche! 
#BogotaParaLaGente https://t.co/Lp5uE8VkYT",0.25641521257783956
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Escuchar la repetida palabra ""corruptos"" de @ClaudiaLopez me hace recordar a @AlvaroUribeVel con la tambien repetida palabra ""terroristas"", aqui no gana el que mas grite ni insulte, el discurso de division y ataques ya no le sirve a Bogota.

#GalanAlcalde
@CarlosFGalan",0.0043531135907567105
"Seguimos creciendo, esta vez en la ultima Datexco. Asi lo registro La W esta manana. Cerraremos como se debe, trabajando, con humildad, en la calle. Todavia falta mucho, sin confiarnos. Feliz noche! 
#BogotaParaLaGente https://t.co/Lp5uE8VkYT",0.25641521257783956
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Estamos en la 50 con Esperanza, de occidente a oriente. Esta sera una de nuestras prioridades en estos dias que faltan, entregar nuestra propuesta, mucha calle, mucho dialogo! #BogotaParaLaGente https://t.co/pnqtbwMKzI",0.5418237335825474
"Aqui les dejo a @CarlosFGalan diciendo que le encantaria que su Secretario de Gobierno fuese Luna, el jefe politico de la Joyita de Yefer Vega, o German Baron, cerebro detras de la criminalizacion de la protesta en el Codigo de Policia y jefe de Cambio Radical en el Congreso. https://t.co/XBmp4r97kN",0.10907890173747202
Estuvimos con @lunadavid @juanmanuelgalan y @angelagarzonc en la 72 con 7. Seguimos trabajando por construir una ciudad mejor para cada uno de los bogotanos. Desde el concejo con 28 #bogotaenregla y la alcaldia de @CarlosFGalan https://t.co/u0tYvomYwG,0.7178778079286231
"Seguimos creciendo, esta vez en la ultima Datexco. Asi lo registro La W esta manana. Cerraremos como se debe, trabajando, con humildad, en la calle. Todavia falta mucho, sin confiarnos. Feliz noche! 
#BogotaParaLaGente https://t.co/Lp5uE8VkYT",0.25641521257783956
"""La gente en Bogota ya no cree en el populismo"": Carlos Fernando Galan (@CarlosFGalan), candidato a la Alcaldia de la capital. 

Reviva aqui su entrevista con @NoticiasCaracol &gt;&gt;&gt; https://t.co/GTnxxUVkEw #BogotaDecide https://t.co/OG3ziTfrdL",0.0404076035779909
