id,Created at,texto,hashtags,source,reply count,retweet count,favorite count,lang,user id,user id string,user screen name,user location,user verified,user followers count,user friends count,created at
141,2019-10-12 17:29:33,"No he entendido dos cosas en el partido de Colombia: La existencia del verbo ""textear"" de la Alcalfia de @Bogota y la frase ""todas nuestras razas"" de @CervezaAguila. Fijo fueron millenials.",[],Twitter Web App,,0,1,es,546276890,546276890,Andres Barreto,Atenas Suramericana,False,91,224,2012-04-05 20:54:29
142,2019-10-12 17:20:11,"No le pitaron el penal, pero le pusieron amarilla a Cuadrado por protestar. Tranquilo, Juangui. Nosotros te entendemos.

#PasionQueUneRazas https://t.co/bIHEYvfoa7",[],Twitter for Android,,2,0,es,71356744,71356744,Colombia.,Bgta.Colombia,False,2632,4990,2009-09-03 20:55:02
143,2019-10-12 17:18:03,"No le pitaron el penal, pero le pusieron amarilla a Cuadrado por protestar. Tranquilo, Juangui. Nosotros te entendemos.

#PasionQueUneRazas https://t.co/bIHEYvfoa7",[],Twitter for Android,,2,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
144,2019-10-12 17:16:41,@CervezaAguila Porque el arbitro esta ciego  #PasionQueUneRazas ...,['PasionQueUneRazas'],Twitter for Android,,0,0,es,209245412,209245412,Diego Ordubay,Dolores Tolima Colombia ,False,3248,4025,2010-10-28 20:20:32
145,2019-10-12 17:13:25,"Que alguien nos explique por que eso no fue penal a Juan Guillermo Cuadrado... INCREIBLE.

#PasionQueUneRazas",['PasionQueUneRazas'],Twitter for Android,,2,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
146,2019-10-12 17:13:07,"Que alguien nos explique por que eso no fue penal a Juan Guillermo Cuadrado... INCREIBLE.

#PasionQueUneRazas",['PasionQueUneRazas'],Twitter for iPhone,,2,0,es,197956256,197956256,Alejandra Ortiz,,False,217,439,2010-10-02 23:14:50
147,2019-10-12 17:09:37,"!Arranco el segundo tiempo! ?Se atreven a decir quien hace el primero de Colombia?

#PasionQueUneRazas https://t.co/E9Ao0YuOkE",['PasionQueUneRazas'],Twitter Web App,,1,0,es,27101841,27101841,Maria Mo,"Cali, Colombia",False,1620,914,2009-03-27 21:27:39
148,2019-10-12 16:57:15,"Entro muy bien Alfredo Morelos. Un delantero potente y muy inteligente para moverse en el area. Por lo menos un golito va a hacer hoy. ?O no? 

#PasionQueUneRazas",[],Twitter for Android,,1,0,es,120312077,120312077,Andres Duque R.,"Armenia, Quindio",False,548,1974,2010-03-06 02:37:19
149,2019-10-12 16:53:03,"Un primer tiempo intenso y muy luchado en la mitad. Las mas claras fueron para @FCFSeleccionCol, pero Claudio Bravo estuvo atento y nos saco el grito de la boca. El gol vendra en el segundo, no lo duden.

#PasionQueUneRazas https://t.co/vzGSMdxfPh",[],Twitter for iPhone,,2,0,es,32685022,32685022,Juan I Martin Neira,"La Serena, Coquimbo",False,1409,2268,2009-04-18 00:31:55
150,2019-10-12 16:52:06,"Un primer tiempo intenso y muy luchado en la mitad. Las mas claras fueron para @FCFSeleccionCol, pero Claudio Bravo estuvo atento y nos saco el grito de la boca. El gol vendra en el segundo, no lo duden.

#PasionQueUneRazas https://t.co/vzGSMdxfPh",[],Twitter for Android,,2,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
151,2019-10-12 16:51:29,Disfrutando de @CervezaAguila y el partido de @FCFSeleccionCol VS @LaRoja https://t.co/iJpfPfumfn,[],Twitter for Android,,0,1,es,92316711,92316711,Joseph Garcia ,"Ocana,Norte de Santander",False,1703,1075,2009-11-24 17:11:16
152,2019-10-12 16:34:25,"Confirmado: Sale Zapata, entra Morelos. !Animo Duvancho!

#PasionQueUneRazas https://t.co/SswSdosaPB",['PasionQueUneRazas'],Twitter for Android,,1,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
153,2019-10-12 16:28:47,@CervezaAguila Lei vamos a beber,[],Twitter for Android,,0,0,es,166036004,166036004,Juan Guillermo CS,"Bogota, Colombia",False,1060,1566,2010-07-13 04:38:16
154,2019-10-12 16:28:39,@CervezaAguila !Animo Morelos!* @CervezaAguila,[],Twitter for iPhone,,0,0,es,965952943311806464,965952943311806464,Ricardo Jaramillo Velez,"Medellin, Colombia",False,470,789,2018-02-20 14:15:03
155,2019-10-12 16:27:50,@CervezaAguila Necesito una aguila.,[],Twitter for Android,,0,0,es,708469795449139200,708469795449139200,Miguel Marmol. [?][?],"Cartagena, Colombia",False,588,859,2016-03-12 01:48:56
156,2019-10-12 16:14:29,"Como el futbol es un idioma universal, hoy en #ElDiaDeLaRaza queremos celebrar con una de nuestras culturas y vamos a narrar el partido de la @FCFSeleccionCol en Arawak. 

#PasionQueUneRazas https://t.co/2s1RZOjut1",['ElDiaDeLaRaza'],Twitter for Android,,3,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
157,2019-10-12 16:14:21,"Arranco intenso el cotejo y la Sele ya se esta comenzando a animar. !Vamos Colombia! !Que hoy toca ganar!

#PasionQueUneRazas https://t.co/JHJw1urlFT",[],Twitter for Android,,2,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
158,2019-10-12 16:14:14,"Arranco intenso el cotejo y la Sele ya se esta comenzando a animar. !Vamos Colombia! !Que hoy toca ganar!

#PasionQueUneRazas https://t.co/JHJw1urlFT",[],Twitter for Android,,2,0,es,83380622,83380622,Lili Vargas,Colombia,False,41,254,2009-10-18 15:09:56
